umap_1,umap_2,OmiqFilter
3.9147,-7.6091,CD8/Tem
-2.1921,1.7757,Plasmablasts
-6.7247,3.7932,Non-Plasmablasts
1.887,-8.2291,CD8/Tem
-7.6447,4.8888,Non-Plasmablasts
-6.6789,4.245,Non-Plasmablasts
-5.1587,-2.6369,Monocytes
-10.9,-6.0922,Neutrophils
-9.8617,-5.7648,Neutrophils
-7.3384,3.2798,Non-Plasmablasts
-2.0602,-5.8588,NK cells
-6.132,6.079,Non-Plasmablasts
6.4521,2.1815,CD4/Tcm
9.4535,2.7413,CD4/Tem
7.8657,1.0085,CD4/Tcm
5.2687,1.0062,CD4/Tem
-8.0113,3.2761,Non-Plasmablasts
-7.3106,7.6856,Non-Plasmablasts
-4.7736,-1.9957,Monocytes
8.2837,5.1204,CD4/Tcm
-5.7676,4.4026,Non-Plasmablasts
-9.7017,-6.0528,Neutrophils
-8.5207,6.5211,Non-Plasmablasts
3.7537,-12.836,CD8/Tnaive/Tn
-7.9732,3.0542,Non-Plasmablasts
4.5317,3.967,CD4/Tcm
-4.8379,5.835,Non-Plasmablasts
3.7189,0.87452,CD4/Tem
4.9399,-8.8644,CD8/Tcm
-4.85,3.299,Non-Plasmablasts
-5.8114,8.0381,Non-Plasmablasts
-2.8578,-8.3054,NK cells
-5.5373,7.8739,Non-Plasmablasts
-4.8873,4.982,Non-Plasmablasts
-7.7307,2.49,Non-Plasmablasts
-5.8851,6.7517,Non-Plasmablasts
5.1312,-9.3723,CD8/Tcm
7.0668,2.0937,CD4/Tcm
5.0128,0.76566,CD4/Tem
-8.1737,5.443,Non-Plasmablasts
-7.5364,4.7956,Non-Plasmablasts
6.9979,6.9114,CD4/Tcm
3.3822,-12.014,CD8/Tnaive/Tn
-4.2691,7.3549,Non-Plasmablasts
-7.5679,2.9671,Non-Plasmablasts
8.4164,5.2839,CD4/Tcm
3.7505,-9.7874,CD8/Temra
-7.1049,7.4959,Non-Plasmablasts
5.5609,5.9011,CD4/Tcm
5.7757,-9.3228,CD8/Tcm
5.0646,2.1405,CD4/Tcm
-3.6502,-6.5282,NK cells
4.1772,0.37319,CD4/Tem
-6.3465,2.9841,Non-Plasmablasts
8.2324,5.9748,CD4/Tcm
-4.418,-8.475,NK cells
-2.3724,0.36135,Plasmablasts
-7.3751,1.7646,Non-Plasmablasts
-7.1533,3.7862,Non-Plasmablasts
-7.6138,7.8424,Non-Plasmablasts
-9.8486,-6.3857,Neutrophils
-6.7604,4.299,Non-Plasmablasts
3.0849,-11.863,CD8/Tnaive/Tn
4.8324,2.8619,CD4/Tcm
9.18,1.8595,CD4/Tem
3.1827,-11.802,CD8/Tnaive/Tn
-7.1107,3.5842,Non-Plasmablasts
