gene,modality,adt_number ,Heatmap,cluster,comparison,source,notes
MAGEA8,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
MAGEB3,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
MCM10,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
MEIS2,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
MFAP3L,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
MGC3771,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
MGC4859,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
MMP26,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
MOCOS,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
MORC1,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
MYCT1,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
MYEF2,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
NAT8B,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
NAV3,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
NCKAP1,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
NCRNA00287,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
NCRNA00328A,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
NDST3,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
NEB,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
NES,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
NPHS2,RNA,,3,all B cell clusters,ND_AAb_T1D,"GSEA M3245, https://pubmed.ncbi.nlm.nih.gov/19124732/",
